PT,n
CONDITION AGGRAVATED,128
HYPOAESTHESIA,127
INFECTION,126
HYPONATRAEMIA,124
UNDERDOSE,124
CEREBRAL INFARCTION,123
ALANINE AMINOTRANSFERASE INCREASED,123
RESPIRATORY FAILURE,121
HEADACHE,120
PERITONITIS,119
FALL,118
HYPERSENSITIVITY,117
HYPOTHYROIDISM,117
LIVER DISORDER,114
PNEUMONITIS,111
PRODUCT USE ISSUE,110
PANCYTOPENIA,110
ILEUS,106
PARAESTHESIA,106
CARDIAC FAILURE,104
METASTASES TO LIVER,104
PNEUMONIA ASPIRATION,102
BACK PAIN,101
BLOOD CREATININE INCREASED,101
INFUSION RELATED REACTION,101
IMMUNE-MEDIATED ENTEROCOLITIS,101
TOXICITY TO VARIOUS AGENTS,97
DEEP VEIN THROMBOSIS,96
HAEMATEMESIS,95
BLOOD PRESSURE DECREASED,95
ADRENAL INSUFFICIENCY,95
GASTROINTESTINAL DISORDER,94
TUMOUR HAEMORRHAGE,93
NEOPLASM PROGRESSION,91
ABDOMINAL DISTENSION,89
BLOOD BILIRUBIN INCREASED,89
COUGH,88
PAIN IN EXTREMITY,88
ENTEROCOLITIS,88
ATRIAL FIBRILLATION,87
GASTROINTESTINAL PERFORATION,87
SYNCOPE,86
ARTHRALGIA,85
DEPRESSED LEVEL OF CONSCIOUSNESS,85
HAEMATOTOXICITY,84
COLITIS,83
NEOPLASM MALIGNANT,83
THROMBOSIS,82
HAEMORRHAGE,82
LOSS OF CONSCIOUSNESS,82
URINARY TRACT INFECTION,81
HEPATIC FAILURE,80
NO ADVERSE EVENT,79
LIVER INJURY,78
MYOCARDIAL INFARCTION,77
,76
CHOLANGITIS,76
TREMOR,73
CEREBROVASCULAR ACCIDENT,71
TACHYCARDIA,71
OXYGEN SATURATION DECREASED,70
CARDIAC ARREST,69
C-REACTIVE PROTEIN INCREASED,68
EPISTAXIS,68
GASTRIC HAEMORRHAGE,67
HYPOPHAGIA,66
ADVERSE EVENT,66
PERIPHERAL SENSORY NEUROPATHY,65
ALTERED STATE OF CONSCIOUSNESS,64
OEDEMA,63
FLUSHING,60
MYALGIA,60
CHEST DISCOMFORT,60
INSOMNIA,60
PERIPHERAL SWELLING,60
HYPOALBUMINAEMIA,60
MELAENA,59
OVERDOSE,59
PROTEINURIA,59
GAIT DISTURBANCE,59
PNEUMONIA BACTERIAL,59
ANXIETY,59
JAUNDICE,58
PNEUMOTHORAX,58
DIABETIC KETOACIDOSIS,58
BLOOD PRESSURE INCREASED,57
METASTATIC GASTRIC CANCER,57
ABDOMINAL DISCOMFORT,57
UPPER GASTROINTESTINAL HAEMORRHAGE,57
MALNUTRITION,57
HYDRONEPHROSIS,56
MUSCULAR WEAKNESS,56
DRUG-INDUCED LIVER INJURY,56
RENAL DISORDER,55
HYPERKALAEMIA,55
DISCOMFORT,55
SHOCK,55
COVID-19,55
DRUG INTERACTION,54
ACUTE MYOCARDIAL INFARCTION,54
DYSPEPSIA,54
CARDIOTOXICITY,53
HYPERHIDROSIS,53
SOMNOLENCE,53
MUSCLE SPASMS,52
HYPOCALCAEMIA,51
CHOLECYSTITIS,51
HYPOGLYCAEMIA,51
MYOCARDITIS,51
DEPRESSION,50
POLYNEUROPATHY,49
ANAPHYLACTIC SHOCK,49
HAEMATOCHEZIA,48
HYPERGLYCAEMIA,48
OESOPHAGITIS,48
CACHEXIA,47
CONFUSIONAL STATE,47
JAUNDICE CHOLESTATIC,47
HYPOPITUITARISM,47
ENTERITIS,46
ADRENOCORTICOTROPIC HORMONE DEFICIENCY,46
METASTASES TO PERITONEUM,46
BLOOD ALKALINE PHOSPHATASE INCREASED,46
NASOPHARYNGITIS,46
TUMOUR PERFORATION,45
LUNG DISORDER,45
DRUG INTOLERANCE,45
HOSPITALISATION,45
MULTIPLE ORGAN DYSFUNCTION SYNDROME,45
INAPPROPRIATE SCHEDULE OF PRODUCT ADMINISTRATION,45
ANAPHYLACTIC REACTION,44
HEPATOTOXICITY,44
NEUTROPENIC SEPSIS,44
CEREBRAL HAEMORRHAGE,44
TYPE 1 DIABETES MELLITUS,44
DELIRIUM,43
OBSTRUCTION GASTRIC,43
INTESTINAL PERFORATION,43
DYSGEUSIA,42
CIRCULATORY COLLAPSE,42
PERICARDIAL EFFUSION,42
ARRHYTHMIA,41
PANCREATITIS,41
PEMPHIGOID,41
SKIN DISORDER,41
PALPITATIONS,40
TUMOUR LYSIS SYNDROME,40
SECONDARY ADRENOCORTICAL INSUFFICIENCY,40
GASTROOESOPHAGEAL REFLUX DISEASE,39
METASTASES TO CENTRAL NERVOUS SYSTEM,39
BLISTER,39
BRADYCARDIA,39
HYPERBILIRUBINAEMIA,39
HICCUPS,39
HAEMATURIA,38
GAMMA-GLUTAMYLTRANSFERASE INCREASED,38
CARDIO-RESPIRATORY ARREST,38
ENCEPHALOPATHY,38
HYPOXIA,38
EMBOLISM,38
TRANSAMINASES INCREASED,38
PULMONARY TOXICITY,38
FEELING ABNORMAL,37
URTICARIA,37
PULMONARY OEDEMA,37
HEART RATE INCREASED,36
EJECTION FRACTION DECREASED,36
BLOOD CREATINE PHOSPHOKINASE INCREASED,36
METASTASES TO LUNG,36
IMMUNE-MEDIATED LUNG DISEASE,36
IMMUNE-MEDIATED HEPATIC DISORDER,36
SUDDEN DEATH,35
BLOOD GLUCOSE INCREASED,35
DRY MOUTH,35
WEIGHT INCREASED,35
WHITE BLOOD CELL COUNT INCREASED,35
SKIN DISCOLOURATION,34
BLOOD UREA INCREASED,34
DEVICE RELATED INFECTION,34
METASTASES TO MENINGES,34
BACTERAEMIA,34
DRUG ERUPTION,34
DIABETES MELLITUS,34
BRONCHOSPASM,34
STEVENS-JOHNSON SYNDROME,34
NEOPLASM,33
AGRANULOCYTOSIS,33
THERAPY PARTIAL RESPONDER,33
METASTASES TO BONE,32
ANASTOMOTIC LEAK,32
LIVER ABSCESS,32
DRUG HYPERSENSITIVITY,32
DISEASE RECURRENCE,32
IMMUNE-MEDIATED HEPATITIS,32
HYPOMAGNESAEMIA,31
LEUKOENCEPHALOPATHY,31
DRY SKIN,31
LYMPHADENOPATHY,31
COMA,31
DYSPHONIA,30
POSTERIOR REVERSIBLE ENCEPHALOPATHY SYNDROME,30
HAEMOLYTIC ANAEMIA,30
PRESCRIBED UNDERDOSE,30
CHOLANGITIS SCLEROSING,30
GASTRITIS,29
ELECTROLYTE IMBALANCE,29
EATING DISORDER,29
LARGE INTESTINE PERFORATION,29
HEPATITIS,29
CYTOKINE RELEASE SYNDROME,29
VENOOCCLUSIVE LIVER DISEASE,29
MYASTHENIA GRAVIS,29
DYSARTHRIA,28
METABOLIC ACIDOSIS,28
NEPHROPATHY TOXIC,28
ILEUS PARALYTIC,28
ORAL CANDIDIASIS,28
GASTROINTESTINAL TOXICITY,28
VISION BLURRED,28
COGNITIVE DISORDER,28
PNEUMOCYSTIS JIROVECII PNEUMONIA,28
BLOOD POTASSIUM DECREASED,28
SKIN EXFOLIATION,27
FRACTURE,27
PALLOR,27
ILLNESS,27
CARDIAC DISORDER,26
RESPIRATORY ARREST,26
CARDIAC FAILURE CONGESTIVE,26
IMPAIRED HEALING,26
RHEUMATOID ARTHRITIS,26
HYPERTHYROIDISM,26
HER2 POSITIVE GASTRIC CANCER,26
INTESTINAL ISCHAEMIA,25
LETHARGY,25
PRESYNCOPE,25
LACRIMATION INCREASED,25
NEPHROTIC SYNDROME,25
TREATMENT FAILURE,25
SWELLING,25
ORGANISING PNEUMONIA,25
HEPATIC ENZYME INCREASED,25
RESPIRATORY DISORDER,25
SMALL INTESTINAL OBSTRUCTION,24
BLOOD LACTATE DEHYDROGENASE INCREASED,24
ACUTE RESPIRATORY DISTRESS SYNDROME,24
FEELING HOT,24
SPEECH DISORDER,24
METASTASES TO LYMPH NODES,24
CONTUSION,24
HYPERAMMONAEMIA,24
HYPERTHERMIA,24
HAEMATOCRIT DECREASED,23
HERPES ZOSTER,23
RHABDOMYOLYSIS,23
MOUTH ULCERATION,23
GASTRIC CANCER RECURRENT,23
ARTHRITIS,23
ABDOMINAL ABSCESS,23
FAECES DISCOLOURED,23
VISUAL IMPAIRMENT,23
HEPATIC ENCEPHALOPATHY,23
RECTAL HAEMORRHAGE,22
INTERNATIONAL NORMALISED RATIO INCREASED,22
TUBULOINTERSTITIAL NEPHRITIS,22
DYSPNOEA EXERTIONAL,22
SUBARACHNOID HAEMORRHAGE,22
EPILEPSY,22
CYTOPENIA,22
GASTRIC STENOSIS,22
ABDOMINAL PAIN LOWER,22
AUTOIMMUNE HEPATITIS,22
COAGULOPATHY,21
GENERALISED OEDEMA,21
DERMATITIS,21
MALIGNANT ASCITES,21
FLUID RETENTION,21
BURNING SENSATION,21
MYOSITIS,21
ERYTHEMA MULTIFORME,21
PRODUCTIVE COUGH,21
STRESS CARDIOMYOPATHY,21
PRODUCT DOSE OMISSION ISSUE,21
ANGINA PECTORIS,20
MOVEMENT DISORDER,20
ANASTOMOTIC COMPLICATION,20
CARCINOEMBRYONIC ANTIGEN INCREASED,20
RED BLOOD CELL COUNT DECREASED,20
APHASIA,20
VENTRICULAR TACHYCARDIA,20
NERVOUS SYSTEM DISORDER,20
SMALL INTESTINAL PERFORATION,20
ORAL PAIN,20
GASTRIC ULCER,20
BRONCHITIS,20
SEIZURE,20
HOSPICE CARE,20
PANCREATITIS ACUTE,20
EMBOLISM VENOUS,20
LYMPHANGIOSIS CARCINOMATOSA,20
AZOTAEMIA,20
HEPATIC ATROPHY,20
STAPHYLOCOCCAL INFECTION,20
ACUTE RESPIRATORY FAILURE,20
HYPOTHALAMO-PITUITARY DISORDER,20
IMMUNE-MEDIATED MYOCARDITIS,20
IMMUNE-MEDIATED HYPOTHYROIDISM,20
OROPHARYNGEAL PAIN,19
TUMOUR MARKER INCREASED,19
LYMPHOPENIA,19
BLOOD PRESSURE SYSTOLIC INCREASED,19
POLLAKIURIA,19
CELLULITIS,19
PERFORMANCE STATUS DECREASED,19
THERAPEUTIC RESPONSE DECREASED,19
PULMONARY FIBROSIS,19
DIPLOPIA,19
HEPATIC CIRRHOSIS,19
PARALYSIS,19
DIFFUSE ALVEOLAR DAMAGE,19
THERAPEUTIC PRODUCT EFFECT INCOMPLETE,19
TASTE DISORDER,19
THERAPY INTERRUPTED,19
VERTIGO,18
HYPOPHOSPHATAEMIA,18
ATELECTASIS,18
CYANOSIS,18
HYPERAMMONAEMIC ENCEPHALOPATHY,18
FLATULENCE,18
FEEDING DISORDER,18
EYELID PTOSIS,18
MEMORY IMPAIRMENT,18
VENTRICULAR FIBRILLATION,18
GRANULOCYTOPENIA,18
RASH PRURITIC,18
IMMUNE THROMBOCYTOPENIA,18
WHEEZING,18
SLEEP DISORDER,18
GASTROINTESTINAL ANASTOMOTIC LEAK,17
ODYNOPHAGIA,17
BLINDNESS,17
DEMENTIA,17
TRANSIENT ISCHAEMIC ATTACK,17
JOINT SWELLING,17
RETCHING,17
THERAPY CESSATION,17
LEFT VENTRICULAR DYSFUNCTION,17
ABSCESS,17
APPENDICITIS,17
BLOOD ALBUMIN DECREASED,17
CHOLECYSTITIS ACUTE,17
BLOOD SODIUM DECREASED,17
TEMPERATURE INTOLERANCE,17
ADENOCARCINOMA GASTRIC,17
THYROID DISORDER,17
NEUTROPENIC COLITIS,17
PIGMENTATION DISORDER,16
FUNGAL INFECTION,16
DYSURIA,16
LEUKOCYTOSIS,16
SWELLING FACE,16
HAEMOPTYSIS,16
DYSSTASIA,16
CLOSTRIDIUM DIFFICILE COLITIS,16
PYOGENIC GRANULOMA,16
ACUTE CORONARY SYNDROME,16
METASTASIS,16
POST PROCEDURAL HAEMORRHAGE,15
DIVERTICULITIS,15
HYPERPYREXIA,15
BLOOD DISORDER,15
PULMONARY ALVEOLAR HAEMORRHAGE,15
SUBDURAL HAEMATOMA,15
RESTLESSNESS,15
CATARACT,15
INFLAMMATION,15
LOWER RESPIRATORY TRACT INFECTION,15
DRUG RESISTANCE,15
CANCER PAIN,15
AGEUSIA,15
EYE SWELLING,15
UPPER RESPIRATORY TRACT INFECTION,15
SHOCK HAEMORRHAGIC,15
RESPIRATORY DISTRESS,15
CYSTITIS,15
MUSCULOSKELETAL STIFFNESS,15
LABORATORY TEST ABNORMAL,15
GASTROENTERITIS,15
INAPPROPRIATE ANTIDIURETIC HORMONE SECRETION,15
ISCHAEMIC STROKE,15
BACTERIAL INFECTION,15
THROAT IRRITATION,15
GAIT INABILITY,15
BLOOD CORTICOTROPHIN DECREASED,15
TACHYPNOEA,15
DERMATOMYOSITIS,15
MOBILITY DECREASED,14
ORTHOSTATIC HYPOTENSION,14
POST PROCEDURAL COMPLICATION,14
URINARY RETENTION,14
SURGERY,14
PERIPHERAL ISCHAEMIA,14
ABDOMINAL SEPSIS,14
IMMUNODEFICIENCY,14
LIVER FUNCTION TEST ABNORMAL,14
THROAT TIGHTNESS,14
DEAFNESS,14
GASTROINTESTINAL NECROSIS,14
OESOPHAGEAL HAEMORRHAGE,14
GASTROINTESTINAL OBSTRUCTION,14
SKIN ULCER,14
FOETAL EXPOSURE DURING PREGNANCY,14
CARDIAC TAMPONADE,14
PYELONEPHRITIS,14
HAEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS,14
VENOUS THROMBOSIS,14
CEREBELLAR HAEMORRHAGE,14
OESOPHAGEAL STENOSIS,14
ANURIA,14
THYROIDITIS,14
HYPOTHERMIA,14
PNEUMATOSIS INTESTINALIS,14
INFLUENZA,13
FACE OEDEMA,13
LYMPHOCYTE COUNT DECREASED,13
RHINORRHOEA,13
UNEVALUABLE EVENT,13
MEDICATION ERROR,13
GASTROINTESTINAL STROMAL TUMOUR,13
HOT FLUSH,13
THIRST,13
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,13
TROPONIN INCREASED,13
MATERNAL EXPOSURE DURING PREGNANCY,13
BLOOD CALCIUM DECREASED,13
BILE DUCT STENOSIS,13
LIVER FUNCTION TEST INCREASED,13
CYSTITIS HAEMORRHAGIC,13
DECREASED ACTIVITY,13
PHARYNGITIS,13
ASPIRATION,13
ADRENAL DISORDER,13
CARDIOMYOPATHY,13
VITH NERVE PARALYSIS,13
PRESCRIBED OVERDOSE,13
LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,13
CHOLESTASIS,13
SPLENOMEGALY,13
DYSENTERY,13
DYSKINESIA,13
EASTERN COOPERATIVE ONCOLOGY GROUP PERFORMANCE STATUS WORSENED,13
BLOOD IRON DECREASED,13
BREATH SOUNDS ABNORMAL,13
SINUS TACHYCARDIA,12
ISCHAEMIA,12
PERICARDITIS,12
BONE PAIN,12
HAEMORRHAGE INTRACRANIAL,12
GASTROINTESTINAL PAIN,12
MUSCULOSKELETAL PAIN,12
NECROSIS,12
ARTERIAL THROMBOSIS,12
DEPRESSED MOOD,12
HEPATIC NEOPLASM,12
SUBILEUS,12
MENTAL STATUS CHANGES,12
SKIN REACTION,12
FULL BLOOD COUNT DECREASED,12
AMNESIA,12
HYPOPROTEINAEMIA,12
NECK PAIN,12
SJOGREN'S SYNDROME,12
PULMONARY HYPERTENSION,12
FEELING COLD,12
TUMOUR NECROSIS,12
MYOCARDIAL ISCHAEMIA,12
TETANY,12
PORTAL HYPERTENSION,12
THROMBOPHLEBITIS MIGRANS,12
IMMUNE-MEDIATED MYOSITIS,12
TOXIC EPIDERMAL NECROLYSIS,12
ASTHMA,12
LUNG INFILTRATION,12
TYPE 2 DIABETES MELLITUS,12
APPETITE DISORDER,12
CORONAVIRUS INFECTION,12
HYPOVOLAEMIC SHOCK,12
TREATMENT NONCOMPLIANCE,12
OESOPHAGEAL OBSTRUCTION,11
ASPHYXIA,11
GRANULOCYTE COUNT DECREASED,11
VISUAL ACUITY REDUCED,11
LARYNGEAL OEDEMA,11
HEPATIC STEATOSIS,11
WOUND INFECTION,11
TINNITUS,11
CEREBRAL ISCHAEMIA,11
NEPHROLITHIASIS,11
DISORIENTATION,11
OESOPHAGEAL PERFORATION,11
PNEUMOPERITONEUM,11
URINARY INCONTINENCE,11
ESCHERICHIA SEPSIS,11
ADVERSE DRUG REACTION,11
BILIARY TRACT DISORDER,11
IRON DEFICIENCY ANAEMIA,11
BLOOD GLUCOSE DECREASED,11
MYELODYSPLASTIC SYNDROME,11
PERIPHERAL ARTERY THROMBOSIS,11
RENAL INJURY,11
CYSTOID MACULAR OEDEMA,11
HAEMORRHOIDS,11
BILIARY TRACT INFECTION,11
PYLORIC STENOSIS,11
FREQUENT BOWEL MOVEMENTS,11
DUODENAL PERFORATION,11
AMYLASE INCREASED,11
SUPRAVENTRICULAR TACHYCARDIA,11
HYPOPHYSITIS,11
BEDRIDDEN,11
EXTRAVASATION,11
COLD SWEAT,11
CRANIAL NERVE DISORDER,11
ANAPHYLACTOID REACTION,11
DYSAESTHESIA PHARYNX,11
CONJUNCTIVITIS,11
IMMUNE-MEDIATED ADRENAL INSUFFICIENCY,11
CARDIAC FAILURE ACUTE,10
COMPLETED SUICIDE,10
HYPOACUSIS,10
PROTEIN TOTAL DECREASED,10
AORTIC ANEURYSM,10
DEVICE OCCLUSION,10
HYPOAESTHESIA ORAL,10
DERMATITIS ACNEIFORM,10
PERIPHERAL COLDNESS,10
HAEMATOMA,10
VENOUS THROMBOSIS LIMB,10
PULMONARY TUBERCULOSIS,10
ACUTE MYELOID LEUKAEMIA,10
PSEUDOMEMBRANOUS COLITIS,10
IMMUNE SYSTEM DISORDER,10
BACTERIAL TRANSLOCATION,10
ANAL ABSCESS,10
CHOLELITHIASIS,10
LACTIC ACIDOSIS,10
THROMBOTIC MICROANGIOPATHY,10
LIPASE INCREASED,10
PULMONARY ARTERY THROMBOSIS,10
GASTROINTESTINAL OEDEMA,10
FISTULA,10
MOUTH HAEMORRHAGE,10
COLITIS ISCHAEMIC,10
CARBOHYDRATE ANTIGEN 19-9 INCREASED,10
HYPOVOLAEMIA,10
URINE OUTPUT DECREASED,10
HEPATIC NECROSIS,10
ENCEPHALITIS,10
GASTRIC ULCER HAEMORRHAGE,10
ECZEMA,10
HYPERTRANSAMINASAEMIA,10
CHROMATURIA,10
ELECTROCARDIOGRAM QT PROLONGED,10
PHYSICAL DECONDITIONING,10
LYMPHOMA,10
MONOPARESIS,10
HYDROTHORAX,10
BILIARY OBSTRUCTION,10
INCREASED APPETITE,10
DERMATITIS EXFOLIATIVE GENERALISED,10
HEPATIC LESION,9
ACNE,9
CREATININE RENAL CLEARANCE DECREASED,9
RASH MACULO-PAPULAR,9
HEPATITIS FULMINANT,9
BLOOD TEST ABNORMAL,9
COMPUTERISED TOMOGRAM ABNORMAL,9
INCORRECT DOSE ADMINISTERED,9
CEREBELLAR INFARCTION,9
NEOPLASM RECURRENCE,9
FEMORAL NECK FRACTURE,9
DRY EYE,9
ARTERIOSPASM CORONARY,9
CANDIDA INFECTION,9
PLATELET COUNT INCREASED,9
DERMATITIS EXFOLIATIVE,9
ABDOMINAL INFECTION,9
RASH ERYTHEMATOUS,9
HYPOKINESIA,9
SKIN TOXICITY,9
SECOND PRIMARY MALIGNANCY,9
BODY TEMPERATURE DECREASED,9
HYPERKERATOSIS,9
PERFORATION,9
BLOOD MAGNESIUM DECREASED,9
EXFOLIATIVE RASH,9
IMPAIRED GASTRIC EMPTYING,9
HEPATITIS B,9
CHEMOTHERAPY,9
ENTERITIS INFECTIOUS,9
APHTHOUS ULCER,9
CARDIOGENIC SHOCK,9
EXPOSURE DURING PREGNANCY,9
SMALL INTESTINAL HAEMORRHAGE,9
OLIGURIA,9
BLOOD POTASSIUM INCREASED,9
FEMUR FRACTURE,9
CARDIAC DYSFUNCTION,9
ESCHERICHIA INFECTION,9
TUBERCULOSIS,9
OCULAR HYPERAEMIA,9
PNEUMONIA FUNGAL,9
THERAPY NON-RESPONDER,9
VASCULAR DEVICE INFECTION,9
IGA NEPHROPATHY,9
BILE DUCT STONE,9
HEART RATE DECREASED,9
KETOACIDOSIS,9
LUNG NEOPLASM MALIGNANT,9
PULMONARY HAEMORRHAGE,9
PARAPARESIS,9
TOXIC LEUKOENCEPHALOPATHY,9
IMMUNE-MEDIATED RENAL DISORDER,9
LUMBAR VERTEBRAL FRACTURE,9
ADVERSE REACTION,9
STRABISMUS,9
"HALLUCINATION, VISUAL",9
DIFFERENTIAL WHITE BLOOD CELL COUNT ABNORMAL,9
GASTROINTESTINAL INFLAMMATION,8
NEUTROPHIL COUNT INCREASED,8
HYPERSOMNIA,8
EOSINOPHIL COUNT INCREASED,8
HAEMOLYTIC URAEMIC SYNDROME,8
STUPOR,8
LARYNGOSPASM,8
OSTEONECROSIS OF JAW,8
HYPERCALCAEMIA,8
AORTIC THROMBOSIS,8
CORONARY ARTERY THROMBOSIS,8
LUNG ABSCESS,8
JUGULAR VEIN THROMBOSIS,8
WOUND,8
GASTRIC NEOPLASM,8
CARDIOMEGALY,8
ACUTE PROMYELOCYTIC LEUKAEMIA,8
VIRAL INFECTION,8
HAEMODYNAMIC INSTABILITY,8
SWOLLEN TONGUE,8
AXILLARY VEIN THROMBOSIS,8
ULCER,8
ABNORMAL BEHAVIOUR,8
WOUND DEHISCENCE,8
BLOOD PRESSURE SYSTOLIC DECREASED,8
CARDIOVASCULAR DISORDER,8
HALLUCINATION,8
SKIN HYPERPIGMENTATION,8
CHRONIC KIDNEY DISEASE,8
PORTAL VEIN THROMBOSIS,8
GLAUCOMA,8
HIP FRACTURE,8
PERIPHERAL NERVE INJURY,8
INJECTION SITE PAIN,8
RESPIRATORY RATE INCREASED,8
WHITE BLOOD CELL COUNT ABNORMAL,8
NERVOUSNESS,8
RECURRENT CANCER,8
PREMATURE BABY,8
GINGIVAL BLEEDING,8
VARICES OESOPHAGEAL,8
ILL-DEFINED DISORDER,8
TOXIC SKIN ERUPTION,8
INTENTIONAL OVERDOSE,8
DIARRHOEA HAEMORRHAGIC,8
ONYCHOLYSIS,8
UVEITIS,8
IMMUNE-MEDIATED CHOLANGITIS,8
FLUID INTAKE REDUCED,8
TROPONIN I INCREASED,8
AMAUROSIS FUGAX,8
GALLBLADDER DISORDER,8
DERMATITIS BULLOUS,8
PYELONEPHRITIS ACUTE,8
SIALOADENITIS,8
OXYGEN SATURATION NORMAL,8
EMPHYSEMA,8
IMMUNE-MEDIATED NEPHRITIS,8
GENERAL PHYSICAL CONDITION ABNORMAL,8
SINUS BRADYCARDIA,8
ERYTHROPENIA,7
FULL BLOOD COUNT ABNORMAL,7
ORAL DISORDER,7
GASTRECTOMY,7
GLOSSODYNIA,7
INFUSION SITE EXTRAVASATION,7
ONYCHOMADESIS,7
BLOOD GLUCOSE ABNORMAL,7
INCORRECT DRUG ADMINISTRATION RATE,7
PERIPHERAL MOTOR NEUROPATHY,7
NOCTURIA,7
TONGUE OEDEMA,7
PROCTALGIA,7
ATAXIA,7
BALANCE DISORDER,7
PAIN IN JAW,7
SKIN FISSURES,7
NAIL DISORDER,7
BILIARY DILATATION,7
EMPYEMA,7
MOOD ALTERED,7
BLOOD PRESSURE ABNORMAL,7
DECUBITUS ULCER,7
GASTRIC CANCER STAGE IV,7
FOETAL GROWTH RESTRICTION,7
POLYMYOSITIS,7
METASTATIC NEOPLASM,7
HEPATIC CANCER,7
THROMBOTIC THROMBOCYTOPENIC PURPURA,7
PROTHROMBIN TIME PROLONGED,7
INGUINAL HERNIA,7
WRONG TECHNIQUE IN PRODUCT USAGE PROCESS,7
ANGIOEDEMA,7
UROSEPSIS,7
HEPATOCELLULAR INJURY,7
OBSTRUCTIVE AIRWAYS DISORDER,7
PAPILLOEDEMA,7
PARONYCHIA,7
VITAMIN K DEFICIENCY,7
NEURALGIA,7
TERMINAL STATE,7
ADRENOCORTICAL INSUFFICIENCY ACUTE,7
NEPHRITIS,7
OESOPHAGEAL CANDIDIASIS,7
ACIDOSIS,7
INFECTIOUS PLEURAL EFFUSION,7
MEDIASTINITIS,7
ANASTOMOTIC ULCER,7
ATRIOVENTRICULAR BLOCK,7
FAECES SOFT,7
MYOCARDIAL NECROSIS MARKER INCREASED,7
ELECTROCARDIOGRAM T WAVE INVERSION,7
INCONTINENCE,7
BLOOD THYROID STIMULATING HORMONE DECREASED,7
IMMUNE-MEDIATED MYASTHENIA GRAVIS,7
IMMUNE-MEDIATED DERMATITIS,7
FAILURE TO THRIVE,7
CORTISOL DECREASED,7
KL-6 INCREASED,7
DEVICE LEAKAGE,7
COVID-19 PNEUMONIA,7
LUNG CONSOLIDATION,7
FEBRILE BONE MARROW APLASIA,7
JOINT EFFUSION,7
TENDON RUPTURE,7
RENAL VEIN THROMBOSIS,7
VENA CAVA THROMBOSIS,6
TORSADE DE POINTES,6
TOXIC ENCEPHALOPATHY,6
LOCALISED OEDEMA,6
MONOCYTE COUNT INCREASED,6
NEEDLE ISSUE,6
NORMOCHROMIC NORMOCYTIC ANAEMIA,6
MYOPATHY,6
UNRESPONSIVE TO STIMULI,6
STRIDOR,6
RENAL CYST,6
HAEMOGLOBIN ABNORMAL,6
NODULE,6
BLOOD URINE PRESENT,6
EYE PAIN,6
TENDERNESS,6
DIVERTICULAR PERFORATION,6
PAIN OF SKIN,6
SUTURE RUPTURE,6
SKIN LESION,6
ENTEROCOLITIS HAEMORRHAGIC,6
RECTAL STENOSIS,6
PROTEIN URINE PRESENT,6
MENTAL DISORDER,6
ANAL HAEMORRHAGE,6
PULMONARY CONGESTION,6
INTESTINAL ULCER,6
PHARYNGEAL OEDEMA,6
INTENTIONAL PRODUCT MISUSE,6
SUBCLAVIAN VEIN THROMBOSIS,6
HEPATITIS ACUTE,6
RETINAL DETACHMENT,6
ELECTROCARDIOGRAM ST SEGMENT DEPRESSION,6
CLOSTRIDIUM DIFFICILE INFECTION,6
